2.0,2.27,57288.645902061864
2.0,2.28,52608.08581122455
2.0,2.29,44587.952279792764
2.0,2.3,43344.16213684209
2.0,2.31,39350.235267015705
2.0,2.32,37070.08246031743
2.0,2.33,33337.45009042552
2.0,2.34,28839.668152631584
2.0,2.35,27891.320635416647
2.0,2.37,25018.416090425526
2.0,2.38,22456.59382901554
2.0,2.39,20380.717918918912
2.0,2.43,17456.841042328044
2.0,2.44,16676.63712765957
2.0,2.45,16110.108941489367
2.0,2.47,15426.370210526313
2.0,2.5,14595.433010256422
2.0,2.48,14069.751574468086
2.0,2.52,13414.62341450777
2.0,2.53,12287.480811518319
2.0,2.54,11789.77447120419
2.0,2.57,10990.519942105266
2.0,2.6,10526.557251308896
2.0,2.61,10228.372336787563
2.0,2.62,9810.756421875001
2.0,2.64,9583.529562500002
2.0,2.65,9221.624578124998
2.0,2.66,9187.194536842111
2.0,2.67,9002.974101063824
2.0,2.68,8736.118315789474
2.0,2.74,8232.906451612906
2.0,2.75,8153.810956989249
2.0,2.79,7852.521551912574
2.0,2.76,7848.180241758238
2.0,2.8,7654.299480874318
2.0,2.88,7428.126691823895
2.0,2.83,7332.677988372095
2.0,2.85,7301.096428571424
2.0,2.87,7062.204339622643
