wlv,rf
1.5,53.80277400000001
1.51,59.855671
1.52,60.939261
1.53,58.54688649999999
1.54,61.44704900000001
1.55,64.81098949999999
1.56,63.958211
1.57,63.42674400000001
1.58,63.251808499999996
1.59,65.419995
1.6,65.2826135
1.61,64.348415
1.62,63.5241765
1.63,67.12058099999999
1.64,64.49866899999999
1.65,64.8979295
1.66,65.0556195
1.67,62.506399
1.68,63.897155999999995
1.69,66.307344
1.7,65.562943
1.71,67.45379500000001
1.72,66.75531649999999
1.73,64.7121135
1.74,63.58432599999999
1.75,65.95553
1.76,66.171201
1.77,64.613605
1.78,62.331776
1.79,64.0312555
1.8,65.70155
1.81,65.11159599999999
1.82,64.000549
1.83,65.826438
1.84,66.3629715
1.85,63.97240599999999
1.86,64.251011
1.87,63.831534000000005
1.88,63.735877
1.89,64.25575599999999
1.9,62.24705599999999
1.91,63.4429605
1.92,60.595524000000005
1.93,59.117593
1.94,60.88605200000001
1.95,55.423709
1.96,53.892745000000005
1.97,50.144216
1.98,45.1429885
1.99,40.81203
2.0,36.85686
2.01,34.544992
2.02,33.0324895
2.03,28.805906000000004
2.04,25.546963
2.05,24.120042
2.06,21.447508999999997
2.07,20.4713545
2.08,18.917237
2.09,16.8417695
2.1,15.635933000000001
2.11,14.453928
2.12,13.422424
2.13,12.667494
2.14,11.898098999999998
2.15,11.662565
2.16,10.669687
2.17,10.358524000000001
2.18,10.0481135
2.19,9.4222675
2.2,9.230024499999999
2.21,8.694516500000002
2.22,8.788523000000001
2.23,8.586669
2.24,8.086426000000001
2.25,8.019943999999999
2.26,7.945178000000001
2.27,7.796956
2.28,7.6093845
2.29,7.515728
2.3,7.448753999999999
2.31,7.221871
2.32,7.114639
2.33,7.1048219999999995
2.34,6.968719999999999
2.35,6.882566
2.36,6.837409000000001
2.37,6.600669
2.38,6.6073165
2.39,6.59894
2.4,6.5366550000000005
2.41,6.403033
2.42,6.450499
2.43,6.366561
2.44,6.348862
2.45,6.3302955
2.46,6.236761499999999
2.47,6.261422
2.48,6.162993500000001
2.49,6.124625
2.5,6.132113499999999
2.51,6.078674
2.52,6.0328215
2.53,5.994379
2.54,5.982715
2.55,5.942451
2.56,6.009324
2.57,5.9294325
2.58,5.881877
2.59,5.8662730000000005
2.6,5.8957665
2.61,5.882334500000001
2.62,5.871854999999999
2.63,5.813657500000001
2.64,5.741899
2.65,5.762699500000001
2.66,5.7809040000000005
2.67,5.7344444999999995
2.68,5.680278
2.69,5.645489
2.7,5.594708000000001
2.71,5.663880499999999
2.72,5.677129000000001
2.73,5.662685499999999
2.74,5.619130999999999
2.75,5.569232
2.76,5.5649385
2.77,5.558433500000001
2.78,5.559463000000001
2.79,5.545044
2.8,5.533443
2.81,5.5707819999999995
2.82,5.5082580000000005
2.83,5.536682
2.84,5.517689000000001
2.85,5.506864
2.86,5.4935480000000005
2.87,5.4238824999999995
2.88,5.445163000000001
2.89,5.444465
2.9,5.443783499999999
2.91,5.416335999999999
2.92,5.447225
2.93,5.35982
2.94,5.385696
2.95,5.3846295
2.96,5.346318
2.97,5.374452499999999
2.98,5.366382
2.99,5.316041
3.0,5.307739499999999
3.01,5.297496
3.02,5.289606
3.03,5.266428000000001
3.04,5.282093500000001
3.05,5.233549999999999
3.06,5.274313
3.07,5.219784
3.08,5.27708
3.09,5.233817
3.1,5.2328415
3.11,5.215075
3.12,5.20958
3.13,5.1976154999999995
3.14,5.251585
3.15,5.137847
3.16,5.149843
3.17,5.166308
3.18,5.13462
3.19,5.0796019999999995
3.2,5.1336345
3.21,5.115947
3.22,5.107299
3.23,5.040102999999999
3.24,5.049710999999999
3.25,5.058253
3.26,5.034985
3.27,5.069482
3.28,5.023532499999999
3.29,5.056548500000001
3.3,5.019417000000001
3.31,5.007776
3.32,5.039067
3.33,5.037974
3.34,5.017882999999999
3.35,4.976943
3.36,4.965624
3.37,4.935348
3.38,4.983712000000001
3.39,4.923299
3.4,4.92231
3.41,4.9684455
3.42,4.930622
3.43,4.957025
3.44,4.8928205
3.45,4.98554
3.46,4.892201
3.47,4.910643
3.48,4.925682
3.49,4.8990185
3.5,4.888957
3.51,4.880744
3.52,4.819875
3.53,4.862376
3.54,4.915692
3.55,4.841988499999999
3.56,4.855999
3.57,4.836377000000001
3.58,4.8929155
3.59,4.8154205
3.6,4.8638699999999995
3.61,4.8236289999999995
3.62,4.880101
3.63,4.8063375
3.64,4.850504
3.65,4.8307255
3.66,4.798849000000001
3.67,4.790463
3.68,4.834953499999999
3.69,4.8413125
3.7,4.865665
3.71,4.8266925
3.72,4.839767
3.73,4.8590675
3.74,4.827335
3.75,4.864469
3.76,4.8351679999999995
3.77,4.824578
3.78,4.849314000000001
3.79,4.8091795
3.8,4.762421
3.81,4.81345
3.82,4.8175
3.83,4.829884
3.84,4.776669
3.85,4.837629999999999
3.86,4.8455475
3.87,4.841018500000001
3.88,4.832026
3.89,4.810682
3.9,4.8580865
3.91,4.9031875
3.92,4.848856
3.93,4.849936
3.94,4.8718385
3.95,4.8199819999999995
3.96,4.84514
3.97,4.775515499999999
3.98,4.8219185
3.99,4.797420999999999
4.0,4.771064
