wlv,rf
0.0,110.36882199999998
0.01,109.83344749999999
0.02,114.689392
0.03,111.844174
0.04,119.641313
0.05,110.0707595
0.06,109.493879
0.07,114.0165135
0.08,107.758266
0.09,110.4395725
0.1,111.243636
0.11,110.607325
0.12,112.190326
0.13,115.51140099999999
0.14,105.147788
0.15,119.0270445
0.16,104.047459
0.17,114.16261999999999
0.18,109.20530699999999
0.19,111.34327800000001
0.2,108.47019999999999
0.21,108.53947149999999
0.22,110.36599849999999
0.23,112.61131300000001
0.24,114.780035
0.25,120.569071
0.26,107.478757
0.27,114.52322500000001
0.28,107.65165649999999
0.29,111.03785699999999
0.3,115.41947099999999
0.31,106.29389749999999
0.32,110.49495599999999
0.33,107.095145
0.34,116.097043
0.35,111.47165
0.36,112.35992399999999
0.37,114.568461
0.38,116.721168
0.39,117.033929
0.4,107.82503
0.41,113.744774
0.42,117.45311749999999
0.43,113.462974
0.44,113.983168
0.45,106.9617245
0.46,109.673285
0.47,114.00571
0.48,111.581717
0.49,113.73384200000001
0.5,113.96118700000001
0.51,114.01448599999999
0.52,112.3351015
0.53,103.239819
0.54,114.77498150000001
0.55,114.795177
0.56,110.825077
0.57,109.27387599999999
0.58,110.42506099999999
0.59,111.78670100000001
0.6,111.952875
0.61,108.0326755
0.62,113.774519
0.63,110.025275
0.64,107.31309049999999
0.65,106.34907199999999
0.66,113.968239
0.67,112.56760899999999
0.68,108.80377650000001
0.69,116.2292335
0.7,109.82557800000001
0.71,107.573556
0.72,116.190056
0.73,111.47165
0.74,106.109695
0.75,111.75798599999999
0.76,112.728022
0.77,114.67968450000001
0.78,113.32693300000001
0.79,110.382823
0.8,111.70060099999999
0.81,110.452879
0.82,111.5288
0.83,110.7129405
0.84,107.32911899999999
0.85,110.5244235
0.86,117.7803945
0.87,111.28631800000001
0.88,110.79745199999999
0.89,115.63420300000001
0.9,107.247193
0.91,112.991505
0.92,111.729287
0.93,114.855786
0.94,112.56760899999999
0.95,103.15207750000002
0.96,116.75127900000001
0.97,113.256223
0.98,107.7649425
0.99,104.91541649999999
1.0,115.68032000000001
1.01,113.733335
1.02,110.68472150000001
1.03,108.6327
1.04,112.5826555
1.05,113.789399
1.06,115.02279199999998
1.07,110.320043
1.08,111.3167745
1.09,108.02587950000002
1.1,111.01655300000002
1.11,110.60052499999999
1.12,114.94682
1.13,110.76295
1.14,109.397519
1.15,115.572769
1.16,113.19729
1.17,110.53059099999999
1.18,108.18699000000001
1.19,110.09705549999998
1.2,112.6186385
1.21,115.620555
1.22,110.061702
1.23,110.452879
1.24,112.262629
1.25,113.58145599999999
1.26,110.13135199999999
1.27,111.671931
1.28,109.85328
1.29,110.70669000000001
1.3,113.5815515
1.31,112.045804
1.32,111.329969
1.33,112.82303150000001
1.34,112.63818300000001
1.35,109.095774
1.36,113.655634
1.37,111.851385
1.38,118.780676
1.39,110.04778300000001
1.4,112.94097550000001
1.41,111.115969
1.42,114.40277
1.43,103.9169345
1.44,107.62498599999999
1.45,98.578081
1.46,101.71227099999999
1.47,93.26381500000001
1.48,92.322183
1.49,93.59461300000001
1.5,104.77402000000001
1.51,99.37742850000001
1.52,98.477675
1.53,96.88774699999999
1.54,95.24397900000001
1.55,101.581658
1.56,102.239714
1.57,97.758543
1.58,98.0007635
1.59,91.84766400000001
1.6,83.5524275
1.61,62.894944
1.62,42.548196
1.63,27.281843
1.64,15.7302775
1.65,11.893539
1.66,10.2386765
1.67,8.966704
1.68,7.883418000000001
1.69,7.4582045
1.7,6.882185000000001
1.71,6.596423
1.72,6.366746999999999
1.73,6.188458499999999
1.74,6.043128
1.75,5.939145000000001
1.76,5.882175
1.77,5.813015
1.78,5.7504105
1.79,5.667255999999999
1.8,5.579712
1.81,5.554034000000001
1.82,5.517846499999999
1.83,5.493722
1.84,5.4131350000000005
1.85,5.37804
1.86,5.359573500000001
1.87,5.330565
1.88,5.3092315
1.89,5.2925515
1.9,5.239285
1.91,5.224155
1.92,5.183419
1.93,5.142964
1.94,5.129428
1.95,5.088274999999999
1.96,5.063581
1.97,5.102867
1.98,5.0441205
1.99,5.0312465
2.0,5.0401255
2.01,5.005084
2.02,4.981915
2.03,4.951863
2.04,4.943914500000001
2.05,4.92976
2.06,4.923619
2.07,4.876846
2.08,4.962198
2.09,4.851789
2.1,4.850099
2.11,4.845831
2.12,4.812092000000001
2.13,4.838584
2.14,4.818408000000001
2.15,4.809804
2.16,4.796125
2.17,4.777273
2.18,4.772869000000001
2.19,4.71903
2.2,4.7351849999999995
2.21,4.765681
2.22,4.710982
2.23,4.692108
2.24,4.6806505
2.25,4.691311499999999
2.26,4.684404000000001
2.27,4.630287999999999
2.28,4.683622000000001
2.29,4.657451
2.3,4.6176345
2.31,4.645912
2.32,4.628318
2.33,4.648394000000001
2.34,4.61587
2.35,4.602151
2.36,4.6202625
2.37,4.6372219999999995
2.38,4.60617
2.39,4.58474
2.4,4.571733
2.41,4.6276779999999995
2.42,4.580979999999999
2.43,4.615087000000001
2.44,4.580854
2.45,4.565448
2.46,4.575254
2.47,4.594156
2.48,4.548221
2.49,4.555007
2.5,4.5968195
2.51,4.544207
2.52,4.5574140000000005
2.53,4.530883
2.54,4.501304
2.55,4.576492999999999
2.56,4.5177570000000005
2.57,4.569452
2.58,4.534354
2.59,4.491104999999999
2.6,4.563808
2.61,4.475214
2.62,4.522866
2.63,4.503984
2.64,4.459505999999999
2.65,4.5048
2.66,4.5203050000000005
2.67,4.4886965
2.68,4.502842
2.69,4.534873999999999
2.7,4.500885
2.71,4.5084535
2.72,4.482257
2.73,4.473673
2.74,4.499745
2.75,4.509816500000001
2.76,4.46083
2.77,4.5272654999999995
2.78,4.461835999999999
2.79,4.462133
2.8,4.497355499999999
2.81,4.466577
2.82,4.478531
2.83,4.4352730000000005
2.84,4.4205815
2.85,4.479568
2.86,4.562868000000001
2.87,4.477264
2.88,4.4718564999999995
2.89,4.4360305
2.9,4.51628
2.91,4.459344
2.92,4.493629500000001
2.93,4.4628890000000006
2.94,4.497373
2.95,4.489715
2.96,4.416210499999999
2.97,4.471617
2.98,4.537736
2.99,4.449174
3.0,4.4966990000000004
