x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-6.4496376E-03,,,,
-6.4493624E-03,,,,
-6.4490872E-03,,,,
-6.4488120E-03,,,,
-6.4485368E-03,,,,
-6.4482616E-03,,,,
-6.4479864E-03,,,,
-6.4477112E-03,,,,
-6.4474360E-03,,,,
-6.4471608E-03,,,,
-6.4468856E-03,,,,
-6.4466104E-03,,,,
-6.4463352E-03,,,,
-6.4460600E-03,,,,
-6.4457848E-03,,,,
-6.4455096E-03,,,,
-6.4452344E-03,,,,
-6.4449592E-03,,,,
-6.4446840E-03,,,,
-6.4444088E-03,,,,
-6.4441336E-03,,,,
-6.4438584E-03,,,,
-6.4435832E-03,,,,
-6.4433080E-03,,,,
-6.4430327E-03,,,,
-6.4427575E-03,,,,
-6.4424823E-03,,,,
-6.4422071E-03,,,,
-6.4419319E-03,,,,
-6.4416567E-03,,,,
-6.4413815E-03,,,,
-6.4411063E-03,,,,
-6.4408311E-03,,,,
-6.4405559E-03,,,,
-6.4402807E-03,,,,
-6.4400055E-03,,,,
-6.4397303E-03,,,,
-6.4394551E-03,,,,
-6.4391799E-03,,,,
-6.4389047E-03,,,,
-6.4386295E-03,,,,
-6.4383543E-03,,,,
-6.4380791E-03,,,,
-6.4378039E-03,,,,
-6.4375287E-03,,,,
-6.4372535E-03,,,,
-6.4369783E-03,,,,
-6.4367031E-03,,,,
-6.4364279E-03,,,,
-6.4361526E-03,,,,
-6.4358774E-03,,,,
-6.4356022E-03,,,,
-6.4353270E-03,,,,
-6.4350518E-03,,,,
-6.4347766E-03,,,,
-6.4345014E-03,,,,
-6.4342262E-03,,,,
-6.4339510E-03,,,,
-6.4336758E-03,,,,
-6.4334006E-03,,,,
-6.4331254E-03,,,,
-6.4328502E-03,,,,
-6.4325750E-03,,,,
-6.4322998E-03,,,,
-6.4320246E-03,,,,
-6.4317494E-03,,,,
-6.4314742E-03,,,,
-6.4311990E-03,,,,
-6.4309238E-03,,,,
-6.4306486E-03,,,,
